Date,news_lm,"('news_lm', 'count')"
2020-08-18,Steady tech spends by global lenders will aid recovery of India’s IT sector,1
2020-08-21,US court upholds $140 mn compensation to Epic Systems in lawsuit against TCS,1
2020-08-26,"Stocks to Watch: TCS, SBI, PNB, NTPC, Tata Motors, Phoenix Mills, JMC Projects",1
2020-08-27,TCS CEO Rajesh Gopinathan has tips for job seekers in IT sector,1
2020-09-11,RIL first Indian co to hit $200 bn m-cap,1
2020-09-18,"HDFC Bank retains top brand rank, Reliance Retail jumps 30 spots: Report",1
2020-09-19,"Reliance Retail brand value soars,TCS stays bullish on campus hiring",2
2020-09-24,Tata group stocks take a hit,1
2020-10-04,Market cap of 8 of 10 most valued firms zooms ₹1.45 lakh crore,1
2020-10-05,"TCS joins 10T club,TCS m-cap surpasses ₹10-lakh-crore mark; 2nd Indian firm to do so",2
2020-10-06,"IT firms to upgrade revenue guidance on strong digital demand,TCS crosses ₹10 tn m-cap on IT optimism, share buyback",2
2020-10-08,"Tata Consultancy says pay hikes on the way,TCS sees sustainable demand recovery,Wipro board to consider stock repurchase on 13 October",3
2020-10-09,TCS launches 10 state-of-the-art cyber threat management centers,1
2020-10-12,Mumbai power outage: WFH likely to be impacted due to disruption,1
2020-10-15,"Post covid, Infosys races ahead of TCS on revenue, profit growth",1
2020-10-18,Six of top-10 Indian firms' lose over ₹1 lakh crore in m-cap; RIL biggest hit,1
2020-11-07,"ITI in talks with Indian companies to provide complete 4G, 5G network gears",1
2020-11-15,Eight of top-10 most valued firms add ₹1.90 lakh crore in m-cap,1
2020-11-17,TCS to build investment insights solution for capital markets industry,1
2020-11-19,"TCS shares jump 2% as shareholders approve ₹16,000 crore buy-back plan",1
2020-11-25,HDFC Bank m-cap crosses ₹8 trillion for the first time,1
2020-11-26,"FC Kohli, doyen of Indian IT, dies,Industry veteran and first CEO of TCS Faqir Chand Kohli passes away at 96",2
2020-11-29,"Five of top 10 most valued firms lose together ₹91,699 cr m-cap; RIL worst hit",1
2020-11-30,The house that Faqir Chand Kohli built,1
2020-12-07,"TCS says hired over 7,000 employees in UK in last 5 years",1
2020-12-09,"TCS' ₹16,000-crore buyback offer to open on 18 December",1
2020-12-10,"Settle it amicably,TCS expands presence in Texas with a new facility in Austin,TCS share buyback offer to open on December 18",3
2020-12-14,"TCS sees cloud opportunities, but valuations leave no room for error,TCS suggests multi-year tailwinds from Cloud, says Motilal Oswal",2
2020-12-17,TCS expects robust growth from BFSI sector in Europe,1
