,Date,open_price,high_price,low_price,close_price,volume,news_lm,news_lm_count,News_bs,news_bs_count,news_mc1,news_mc_count,Sentiment on Date,Subjectivity on Day,Sentiment Value,Subjectivity value,News Sentiment on Date,News Subjectivity on Day,News Sentiment Value,News Subjectivity value,total_tweets,retweets_sum,tweets_favourites_sum,News,total_news
205,2020-08-03,2290.45,2303.85,2230.7,2254.15,4012337,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
206,2020-07-31,2303.15,2334.8,2257.45,2281.4,4723290,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
207,2020-07-30,2285.9,2358,2272.25,2279.5,7098496,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
208,2020-07-29,2292,2342,2246.05,2276.05,6090431,0,0.0,Tata Sons Withheld Facts On Turning Private: Mistry Firms Tell SC,1.0,0,0.0, Slightly Positive,Highly Subjective,0.11302211300000001,0.36670761700000004,Neutral,Highly Subjective,0.0,0.375,40.0,15.0,111.0,Tata Sons Withheld Facts On Turning Private: Mistry Firms Tell SC,1.0
209,2020-07-28,2215,2320,2215,2309.75,8092319,0,0.0,Cash-Rich Indian IT Services Companies Go Aggressive In M&A Space,1.0,0,0.0,Neutral,Highly Subjective,0.032226107000000004,0.221386946,Neutral,Objective,0.0,0.0,48.0,23.0,67.0,Cash-Rich Indian IT Services Companies Go Aggressive In M&A Space,1.0
210,2020-07-27,2165,2215,2163.5,2206.8,4248480,0,0.0,"Tamil Nadu CM Inaugurates New Industrial Projects Worth Rs 3,185 Cr",1.0,0,0.0, Slightly Positive,Highly Subjective,0.259469697,0.35151515200000005, Slightly Positive,Highly Subjective,0.218181818,0.277272727,12.0,6.0,17.0,"Tamil Nadu CM Inaugurates New Industrial Projects Worth Rs 3,185 Cr",1.0
211,2020-07-24,2154.5,2163,2125.1,2157.4,3665100,0,0.0,Covid-19 Impact: IT Bigwigs Likely To Speed Up Client Staff Absorption,1.0,0,0.0,0,0,0.0,0.0,Neutral,Slightly Subjective,0.0,1.0,0.0,0.0,0.0,Covid-19 Impact: IT Bigwigs Likely To Speed Up Client Staff Absorption,1.0
212,2020-07-23,2190.95,2190.95,2163,2171.2,2265766,0,0.0,Memo From The Office: Work From Home Continues To Be A Work In Progress,1.0,0,0.0,0,0,0.0,0.0,Neutral,Objective,0.0,0.0,0.0,0.0,0.0,Memo From The Office: Work From Home Continues To Be A Work In Progress,1.0
213,2020-07-22,2231,2231,2184.2,2190.95,2861534,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
214,2020-07-21,2230,2238.65,2201.15,2225.05,2665286,0,0.0,"From TCS To Wipro, Top IT Firms' Headcount Drops First Time In A Decade",1.0,0,0.0,0,0,0.0,0.0, Slightly Positive,Slightly Subjective,0.375,0.41666666700000005,0.0,0.0,0.0,"From TCS To Wipro, Top IT Firms' Headcount Drops First Time In A Decade",1.0
